"SP_ID","OBJECTID_1","OBJECTID","SitRecID","Region","Country","ISO3","NatName","IntName","FinCode","SitLat","SitLong","SitArea","Protect","Num_PAs","IbaStatus","KbaStatus","AzeStatus","CREATEDBY","ADDEDBY","ADDEDDATE","CHANGEBY","CHANGEDATE","Query","SOURCE","DELTXT","DELGEOM","MarineIBA","Shape_Leng","Shape_Area","Lat_DD","Lon_DD","biome","area","matched_ib","matched__1","matched__2","matched__3","matched__4","glds90ag","glds95ag","glds00ag"
"14",177,199,243,"Europe","Lithuania","LTU","Labunava (Labunavos miskai)","Labunava forest","LT021",55.1166666667,23.9833333333,5663,"Most",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/03","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.5635805336,0.0030117802,55.1338590746,23.9924395909,0,2133.56,243,-9999,-9999,-9999,1,49.769102907729,49.751951502657,49.534407188152
"15",178,200,256,"Europe","Liechtenstein","LIE","Ruggeller Riet, Talgebiet","Ruggeller Riet, Talgebiet","LI001",47.2666666667,9.55,90,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/01","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.05452953678,0.00010624992,47.2540765534,9.54751741614,0,89.3675,256,0,-9999,-9999,1,256.838272094727,274.329605102539,282.033396402995
"16",206,229,303,"Europe","Latvia","LVA","Teicu un Pelecares purvi","Teici and Pelecare bogs","LV050",56.5833333333,26.45,26263,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,2.32016260421,0.03840771129,56.5934134979,26.4882079563,0,26204.7,303,-9999,-9999,0,-9999,6.346992009618,6.091600993062,5.967634502961
"17",207,230,304,"Europe","Latvia","LVA","Berzpils purvi un palienes","Berzpils bogs and flood-plains","LV053",56.8666666667,27,14736,"Whole",5,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,1.05233974454,0.02169783234,56.8625429947,27.0039098482,0,14698.3,304,-9999,-9999,0,-9999,7.657515713364,7.308670570137,7.12735745083
"18",208,231,305,"Europe","Latvia","LVA","Babites ezers","Babite lake","LV022",56.9166666667,23.7333333333,3052,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.55989110775,0.00450429732,56.917156168,23.7297535103,0,3046.8,305,-9999,-9999,0,-9999,92.135024796121,85.335011412278,80.684254775176
"19",209,232,307,"Europe","Latvia","LVA","Engures ezers","Engure lake","LV020",57.2666666667,23.1333333333,12726,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.78821257001,0.01894832623,57.2504573415,23.1175518724,0,12702.4,307,0,-9999,0,-9999,16.624310171821,16.424396689155,16.560330387896
"20",211,234,310,"Europe","Latvia","LVA","Liepajas ezers","Liepaja lake","LV004",56.45,21.05,4818,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.64503495176,0.00701874054,56.4549533788,21.0543282647,0,4806.25,310,-9999,-9999,0,-9999,304.053969555562,273.647734245451,251.434901638786
"21",215,238,318,"Europe","Latvia","LVA","Lubans un zivju diki","Lubans and fish-ponds","LV052",56.7333333333,26.8666666667,21338,"Whole",8,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,1.34325083611,0.0313179229,56.7359627689,26.8634655997,0,21286.8,318,-9999,-9999,-9999,0,7.966827708612,7.715368797039,7.630950298454
"22",227,250,333,"Europe","Latvia","LVA","Svetes lejtece","Svete lower reaches","LV028",56.7166666667,23.65,932,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.29182730658,0.00136846486,56.7085054104,23.6656629996,0,930.826,333,-9999,-9999,-9999,0,192.783760813924,181.524748963195,174.502794265747
"23",231,254,337,"Europe","Latvia","LVA","Uzavas lejtece","Uzava lowland","LV012",57.15,21.5166666667,1434,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.22152331075,0.00212858569,57.1485547699,21.5068163392,0,1430.89,337,-9999,-9999,-9999,0,5.154829062815,4.831367500185,4.620420054188
"24",234,257,344,"Europe","Latvia","LVA","Stikli","Stikli","LV016",57.3166666667,22.2666666667,7244,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.8493132971,0.01080767396,57.3285725958,22.265319858,0,7229.77,344,-9999,-9999,-9999,0,6.278792071266,6.042302544886,5.940804813236
"25",235,258,346,"Europe","Latvia","LVA","Lielauces ezers","Lake Lielauce","LV025",56.5333333333,22.9,885,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.16444549545,0.00129225176,56.529855672,22.9087506052,0,883.155,346,-9999,-9999,-9999,0,9.012504534288,8.554206005939,8.286473107028
"26",236,259,347,"Europe","Latvia","LVA","Ukru mezi","Ukri forest","LV026",56.3833333333,23.2,1144,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,0.41960710899,0.0016637885,56.3755498599,23.1788712748,0,1141.7,347,-9999,-9999,-9999,0,14.926214077598,14.353459689492,14.013973256161
"27",243,266,358,"Europe","Latvia","LVA","Pededzes lejtece un Parabaine","Pededze forest and Parabaine","LV054",56.95,26.9,14737,"Whole",4,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/09/05","Gill Bunting, Birdlife International","2010/09/16",-1,"BirdLife International: Global IBA Layer - 13th June 2008","Existing data shifted so as to provide a better fit to coastlines and SPA dataset.","Refined polygon",NA,1.2231970679,0.02173783507,56.9251626675,26.8926983971,0,14700.7,358,0,-9999,-9999,-9999,6.536105646603,6.282805168302,6.166396822714
"28",258,312,406,"Europe","Bulgaria","BGR","Lomovete","Lomovete","BG025",43.675,26.107,27872,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/06/20","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Draft polygon",NA,2.99362450236,0.03109188258,43.645773641,26.1125376265,0,27880.5,406,0,-9999,-9999,0,46.376749722784,43.864205458444,40.666060365645
"29",268,322,416,"Europe","Bulgaria","BGR","Ponor","Ponor","BG005",43.0628333333,23.173,31380,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/06/20","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Draft polygon",NA,1.69624715868,0.03466752396,43.0596565553,23.1671120239,0,31388.5,416,-9999,-9999,0,-9999,24.736811898753,24.24285441649,23.260064056259
"30",269,323,417,"Europe","Bulgaria","BGR","Ribarnitsi Orsoya","Orsoya Fish-ponds","BG006",43.7908333333,23.0853333333,475,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/06/20","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Draft polygon",NA,0.1347039965,0.0005316502,43.7904707546,23.0902262383,0,475.588,417,-9999,-9999,0,-9999,109.84119538338,103.11371538716,95.480710675639
"31",301,355,450,"Europe","Romania","ROU","Cheile Bicazului - Muntii Hasmas","Bicaz gorge and Hasmas Mountains","RO036",46.7455,25.8143333333,6933,"Whole",3,"confirmed",NA,NA,"Tris Allinson, BirdlLife International","Gill Bunting, BirdLife International","2009/02/01",NA,NA,-1,"Provided by Partner for 2006 poster map",NA,"Refined polygon",NA,1.38356408691,0.00816459691,46.7454601402,25.8143408354,0,6932.98,450,-9999,-9999,-9999,0,77.312777919284,75.177517203961,73.978565478729
"32",324,378,481,"Europe","Romania","ROU","Blahnita","Blahnita","RO085",44.4328333333,22.6283333333,45286,"Whole",2,"confirmed",NA,NA,"Tris Allinson, BirdlLife International","Gill Bunting, BirdLife International","2009/02/01",NA,NA,-1,"Provided by Partner for 2006 poster map",NA,"Refined polygon",NA,1.36638903232,0.05116931692,44.4328248363,22.6283469084,0,45278.7,481,0,-9999,-9999,-9999,42.266853239873,41.172000519931,40.150039639162
"33",332,386,494,"Europe","Iceland","ISL","Stokkseyri-Eyrarbakki","Stokkseyri-Eyrarbakki","IS020",63.8666666667,-21.1166666667,4300,"Little/none",0,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2010/10/20",NA,"1899/12/30",-1,"Recieved from Partner in March 2008","Recieved from Partner in March 2008","Refined polygon",NA,0.68718487046,0.00538283837,63.8366065432,-21.0438261728,0,2941.2,494,0,-9999,-9999,-9999,23.411342203425,27.825903672497,31.926693309925
"34",410,464,582,"Europe","Ireland","IRL","Rahasane turlough","Rahasane turlough","IE058",53.2166666667,-8.78333333333,257,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.16894905736,0.00033111392,53.2213735251,-8.78886451104,0,245.667,582,0,-9999,-9999,-9999,17.942083994548,22.963347117106,29.976665284899
"35",418,472,590,"Europe","Ireland","IRL","Lough Gill","Lough Gill","IE071",52.2666666667,-10.0333333333,157,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.09629263157,0.00020268023,52.2604362393,-10.0434936943,0,153.729,590,0,-9999,-9999,-9999,24.440019607544,25.8308801651,27.630769729614
"36",456,510,628,"Europe","Ireland","IRL","Lough Derravaragh","Lough Derravaragh","IE138",53.65,-7.33333333333,1120,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.40105077345,0.00152230515,53.6496115214,-7.36322122004,0,1118.14,628,0,-9999,-9999,-9999,16.467557625337,16.268758188594,16.274083159187
"37",464,518,636,"Europe","Ireland","IRL","Dunfanaghy New Lake","Dunfanaghy New Lake","IE011",55.1666666667,-8,626,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.18982217899,0.00088189706,55.1789544624,-8.00607490051,0,624.034,636,0,-9999,-9999,-9999,19.002670288086,19.943899154663,21.13950920105
"38",490,544,662,"Europe","Ireland","IRL","Owenduff River catchment and Nephin Beg","Owenduff River catchment and Nephin Beg","IE046",54.0333333333,-9.63333333333,25622,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.80640379531,0.03649507925,54.0151334835,-9.69948248088,0,26572.8,662,0,-9999,-9999,-9999,4.203104027886,4.001027345119,3.888536571975
"39",494,548,666,"Europe","Ireland","IRL","All Saints bog","All Saints bog","IE133",53.1166666667,-7.93333333333,326,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.1199468893,0.00052231653,53.1508482797,-7.98254627575,0,388.166,666,0,-9999,-9999,-9999,22.799699783325,23.400279998779,24.327709197998
"40",540,597,716,"Europe","Belgium","BEL","Vijverkomplex van Midden Limburg","Vijverkomplex van Midden Limburg","BE026",50.9666666667,5.3,2560,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/01","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.29038585025,0.00328114682,50.9858738191,5.3080378961,0,2559.6,716,0,-9999,-9999,-9999,547.095808402571,563.281812395368,575.820452816272
"41",555,612,737,"Europe","Belgium","BEL","Sinmurienne","Sinmurienne","BE047",49.6333333333,5.53333333333,32541,"Most",20,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,2.15506966609,0.0404991058,49.6400896122,5.56618015469,0,32500.2,737,0,-9999,-9999,-9999,80.979346911934,84.127560341184,86.87764859754
"42",565,626,751,"Europe","Turkey","TUR","Karapinar Ovasi","Karapinar Plain","TR065",37.7666666667,33.6166666667,28370,"Some",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"Doga Dernegi",NA,"Refined polygon",NA,0.94860829744,0.02902864001,37.7633432435,33.6315513397,0,28437.8,751,0,-9999,-9999,-9999,44.047698974609,49.371898651123,54.53258895874
"43",784,1066,1211,"Europe","Netherlands","NLD","Het Zwin (excl. Belgische deel)","Zwin (Dutch part)","NL033",51.3833333333,3.41666666667,128,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.08644231126,0.00018202652,51.3698244449,3.37277191678,0,140.819,1211,0,-9999,-9999,-9999,195.822777642144,270.611139085558,385.930770026313
"44",795,1077,1227,"Europe","Netherlands","NLD","Rijn: Heteren-Amerongen","Rijn: Heteren-Amerongen","NL049",51.95,5.66666666667,2480,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.92166281311,0.0042628306,51.967375744,5.54632889444,0,3254.61,1227,0,-9999,-9999,-9999,419.061915857652,429.910362931794,444.648179656384
"45",798,1080,1230,"Europe","Netherlands","NLD","Leekstermeer","Lake Leekstermeer","NL052",53.1833333333,6.43333333333,1450,"Whole",5,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.28867754056,0.00208255411,53.1829155267,6.45467679981,0,1546.52,1230,0,-9999,-9999,-9999,525.102248128255,536.099782816569,542.519245402018
"46",813,1095,1247,"Europe","Netherlands","NLD","Zeevang","Polder Zeevang","NL069",52.55,5.03333333333,1250,"Some",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.2925333641,0.00369918446,52.5436416062,5.01643165366,0,2787.82,1247,0,-9999,-9999,-9999,410.958169099326,430.533065296779,448.190047433443
"47",836,1118,1277,"Europe","Netherlands","NLD","Leenderbos en Groote Heide","Leenderbos and Groote Heide","NL103",51.3333333333,5.5,2270,"Whole",4,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/02","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.43209391562,0.00325581615,51.3266622093,5.51668784722,0,2521.15,1277,0,-9999,-9999,-9999,214.618981416894,219.775181280873,239.574854290675
"48",874,1156,1316,"Europe","Finland","FIN","Kangasalan lintujrvet","Kangasala wetlands","FI064",61.45,24.0666666667,1093,"Some",1,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.30914597955,0.0018382083,61.4439681005,24.0680905412,0,1088.88,1316,0,-9999,-9999,-9999,52.806560516357,54.548248291016,55.08911895752
"49",880,1162,1322,"Europe","Finland","FIN","Ruunaa","Ruunaa","FI058",63.3833333333,30.6666666667,12061,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.53494831294,0.02162999007,63.3997780823,30.5963069342,0,12001.8,1322,0,-9999,-9999,-9999,4.598968892689,4.256753881548,3.853062086246
"50",889,1171,1331,"Europe","Finland","FIN","Alajoki","Alajoki","FI049",63.1,22.9166666667,438,"Little/none",0,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.14937513992,0.00077641463,63.0911240978,22.9008033691,0,435.436,1331,0,-9999,-9999,-9999,18.268621677306,18.119990418597,17.571775296839
"51",919,1201,1361,"Europe","Finland","FIN","Karunginjrvi","Karunginjrvi lake","FI019",66.0333333333,23.9833333333,660,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.28607942835,0.00130438317,66.0329604268,24.0174118641,0,656.594,1361,0,-9999,-9999,-9999,17.510868281534,17.352263071766,16.786110812671
"52",936,1218,1378,"Europe","Finland","FIN","Ksivarren tunturit","Ksivarsi fjelds","FI002",69,21.5,220078,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,3.24381598088,0.44129512879,69.0189667674,21.4801634478,0,195808,1378,0,-9999,-9999,-9999,0.346742399115,0.317024239695,0.284147216256
"53",960,1242,1403,"Europe","Hungary","HUN","BodrogzugTaktakz","BodrogzugTaktakz","HU039",48.25,21.3333333333,31853,"Most",9,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/01","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.89084015182,0.03849998524,48.1617918394,21.4226380055,0,31823.5,1403,0,-9999,-9999,-9999,96.231236556124,94.033604237313,90.966969843583
"54",1152,1534,1764,"Europe","Spain","ESP","Monte Gorramendi - Peas de Itxusi","Gorramendi mountain and Itxusi crags","ES084",43.1666666667,-1.5,6300,"Whole",4,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.39183956401,0.00707739095,43.2261928687,-1.42581392893,0,6390.54,1764,0,-9999,-9999,-9999,20.805160564742,21.438996620366,21.932089091522
"55",1159,1541,1771,"Europe","Spain","ESP","Posets - La Maladeta","Posets-Maladeta","ES128",42.6666666667,0.5,44700,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/06/13",NA,NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.37278507361,0.05058210044,42.6052276032,0.58232517573,0,46135.8,1771,0,-9999,-9999,-9999,6.272541824379,6.176662091615,6.039601732274
